Wall time,Step,Value
1554884845.7888477,1122,3743.144287109375
1554884872.140214,1914,3406.986328125
1554884872.150411,2013,3508.0654296875
1554884898.2132866,2376,3341.196533203125
1554884924.4424767,2871,3828.84033203125
1554884924.4517806,2970,4334.3662109375
1554884951.6059825,3630,4446.7978515625
1554885052.5131652,5643,3753.960205078125
1554885052.5226123,5742,3253.281494140625
1554885079.2905085,6039,4034.046875
1554885104.346502,6567,3685.69775390625
1554885172.0566633,8085,3217.697998046875
1554885172.0724268,8250,2810.016357421875
1554885193.179082,8943,2550.26318359375
1554885214.937606,9108,2708.392822265625
1554885214.962321,9339,3045.758544921875
1554885239.1189752,9537,3717.487060546875
1554885281.6826496,10692,2982.193115234375
1554885281.6886997,10758,3510.454345703125
1554885281.7130575,11022,2935.859130859375
1554885326.1766963,11979,3151.693115234375
1554885348.9036548,12639,3154.546630859375
1554885446.9082978,14421,2729.061279296875
1554885446.9112442,14454,3096.98974609375
1554885471.516579,15114,3149.792724609375
1554885471.5262659,15213,3268.114990234375
1554885493.3585603,15708,3092.04296875
1554885493.3671439,15807,3140.76904296875
1554885517.7451608,15840,3393.408447265625
1554885517.7797732,16170,3337.397216796875
1554885541.479199,16797,2582.145751953125
1554885614.4075503,18216,2890.2900390625
1554885659.4496484,19107,2440.564208984375
1554885682.9519615,19635,2615.69140625
1554885682.9752529,19866,2953.5888671875
1554885682.9783664,19899,2449.374267578125
1554885736.5400538,20988,3713.287841796875
1554885761.2674487,21450,3975.820556640625
1554885784.9378939,21714,2927.622314453125
1554885784.9445899,21780,3287.693359375
1554885784.9558597,21879,3172.642333984375
1554885784.9624991,21945,3235.98486328125
1554885807.4972188,22341,3440.920654296875
1554885807.5289829,22671,3349.610595703125
1554885878.2170699,24090,3118.506591796875
1554885903.7090898,24354,2990.987060546875
1554885903.7381296,24618,2837.179443359375
1554885955.2907493,25344,3100.679931640625
1554885955.3089645,25476,3422.129638671875
1554885955.3409193,25773,3267.87548828125
1554885983.5943215,25905,3519.807861328125
1554885983.6018047,25971,3307.692138671875
1554886010.1220229,26433,3299.887939453125
1554886010.1294193,26499,3553.315673828125
1554886010.146206,26664,3306.473388671875
1554886010.1521726,26730,3503.2705078125
1554886035.5448508,26994,2938.225830078125
1554886035.5646656,27192,2971.734619140625
1554886035.5677457,27225,2782.116943359375
1554886090.5532596,27984,3642.557373046875
1554886090.5676355,28116,3706.586669921875
1554886196.8410563,30459,3437.83935546875
1554886196.8476787,30525,3358.976806640625
1554886250.2029667,31614,3202.82568359375
1554886277.2821634,31713,3406.393798828125
1554886304.3900483,32274,2712.73291015625
1554886304.4217374,32571,2768.449951171875
1554886304.4253538,32604,2917.088134765625
1554886329.6181207,32802,3617.526611328125
1554886329.621833,32835,3318.37548828125
1554886329.6374435,33000,3624.475830078125
1554886357.3898594,33594,3372.11376953125
1554886357.3989043,33693,3064.552734375
1554886383.6817493,33990,2823.10546875
1554886461.255063,35607,2872.79296875
1554886461.2650063,35706,3112.423828125
1554886486.3531132,35904,2728.11669921875
1554886486.375869,36102,2617.14599609375
1554886486.3919566,36267,2544.366455078125
1554886513.0728996,36597,3049.90185546875
1554886513.0917919,36795,2820.081787109375
1554886544.621816,36960,2471.293701171875
1554886621.2279875,38676,2650.83154296875
1554886621.2432635,38841,2402.385009765625
1554886621.2461061,38874,2818.808837890625
1554886648.116732,39468,2707.742431640625
1554886672.3286464,39897,3125.48291015625
1554886697.4837778,40326,2800.1669921875
1554886746.6159146,41580,2629.212646484375
1554886773.1814077,42141,2951.3037109375
1554886821.9195619,42801,2367.1103515625
1554886821.9540925,42999,2822.279296875
1554886821.9957936,43230,2510.55517578125
1554886874.5556881,43956,2535.57373046875
1554886874.5649772,44055,2691.3251953125
1554886895.56281,44418,1852.0062255859375
1554886895.5767612,44517,2071.22607421875
1554886895.58981,44616,1675.6865234375
1554886895.5943785,44649,2278.246826171875
1554886970.3154125,46233,2598.103515625
1554886970.341672,46431,2540.767822265625
1554886990.962389,46464,2422.565673828125
1554887020.7054684,47190,2575.908203125
1554887045.7476168,47586,2662.786376953125
1554887045.7806606,47916,2722.8994140625
1554887092.8567262,48906,2519.0166015625
1554887119.2472475,49269,2771.578125
1554887119.2733953,49533,2802.202392578125
1554887145.3260503,49731,2616.6455078125
1554887197.0293586,50787,2239.806396484375
1554887197.0427244,50919,2074.401611328125
1554887249.376477,51744,2319.98681640625
1554887277.8025765,52272,2804.246337890625
1554887277.8073545,52305,2584.375732421875
1554887304.1131964,52800,2020.5009765625
1554887304.1280584,52932,2460.9375
1554887327.3972683,53493,2434.6044921875
1554887381.5125887,54648,2186.8037109375
1554887407.742169,54912,2331.76708984375
1554887434.509469,55572,2664.860107421875
1554887461.0915954,56034,2307.97607421875
1554887461.1228967,56331,2404.335693359375
1554887483.4767766,56529,2984.755126953125
1554887483.4849093,56595,2945.3369140625
1554887483.4946413,56694,2990.5693359375
1554887483.5170934,56925,2996.883544921875
1554887511.4431405,57222,2637.2978515625
1554887539.086621,57684,2300.453125
1554887539.093055,57750,1916.580810546875
1554887539.1035905,57849,2030.808349609375
1554887565.6821723,58113,2135.599365234375
1554887565.6857762,58146,2052.2548828125
1554887588.4871666,58806,2024.2481689453125
1554887588.5172775,59103,1975.77294921875
1554887613.948115,59301,2634.40869140625
1554887613.9743154,59565,2478.778564453125
1554887637.9675646,59862,2056.30078125
1554887637.9898388,60093,2186.2841796875
1554887687.172305,60786,2639.5322265625
1554887712.0637946,61248,1880.58642578125
1554887712.079299,61380,1842.75244140625
1554887712.1075063,61677,2011.416015625
1554887740.640663,62106,2260.050537109375
1554887740.6493313,62205,2210.512939453125
1554887766.8156507,62403,2429.27197265625
1554887766.8222754,62469,2703.956298828125
1554887812.1716027,63789,1948.206787109375
1554887837.4176335,64350,2721.30126953125
1554887863.333065,64680,2275.124267578125
1554887863.3456168,64779,2385.5537109375
1554887887.1419713,65439,2413.954833984375
1554887911.5265038,65901,2392.399169921875
1554887911.532709,65967,2092.767333984375
1554887956.9479785,66561,2335.820556640625
1554887956.9633267,66693,2189.626220703125
1554887956.9880881,66957,2411.900634765625
1554887981.2303872,67518,2612.240234375
1554888006.656318,67716,2437.82861328125
1554888031.276023,68508,2573.035400390625
1554888057.8659706,68937,1925.226318359375
1554888057.875038,69036,1805.104736328125
1554888057.8781042,69069,2205.671875
1554888081.678633,69333,2393.96337890625
1554888081.691816,69465,2329.900634765625
1554888104.9921389,69696,2294.956787109375
1554888105.0418324,70191,2231.223388671875
1554888184.994072,71313,2366.949951171875
1554888185.008773,71445,2408.76513671875
1554888185.031739,71676,2386.28662109375
1554888212.226405,71973,1985.8739013671875
1554888238.576637,72699,2065.77001953125
1554888238.5892253,72831,2055.49267578125
1554888264.4266248,73095,1942.9884033203125
1554888264.4527268,73359,2151.800048828125
1554888290.1164021,73491,2627.638916015625
1554888316.1279678,74151,2435.36328125
1554888316.1444488,74316,2234.11962890625
1554888316.147476,74349,2591.5927734375
1554888316.1534545,74415,2585.22021484375
1554888341.7911518,74514,2378.0595703125
1554888341.8298361,74910,2170.160888671875
1554888367.5860403,75009,2180.210205078125
1554888367.6047993,75174,2339.86328125
1554888392.0236697,75801,2462.092041015625
1554888419.618306,76131,2000.9793701171875
1554888419.6379151,76329,1941.7135009765625
1554888419.6596856,76527,2087.736572265625
1554888448.7428174,76659,2131.5068359375
1554888448.7834785,77055,1932.802001953125
1554888497.3933606,77913,2110.698486328125
1554888528.1697855,78210,2454.00439453125
1554888576.95164,79365,2493.0712890625
1554888576.9546325,79398,2599.901123046875
1554888576.9611268,79464,2465.529296875
1554888655.5259004,80916,2257.482666015625
1554888655.5541978,81180,1922.970947265625
1554888684.37851,81477,2257.975830078125
1554888684.3848863,81543,2148.638671875
1554888684.4003139,81708,1915.8670654296875
1554888739.234154,82533,2212.221923828125
1554888739.2374454,82566,2346.888427734375
1554888763.616438,82896,2399.592041015625
1554888763.6242514,82962,2730.310302734375
1554888763.6417863,83127,2428.17822265625
1554888791.3672366,83589,2339.05615234375
1554888791.3874602,83787,1707.91943359375
1554888813.4066458,84084,1821.4849853515625
1554888842.15664,84579,2070.416748046875
1554888842.1703641,84711,2248.998291015625
1554888842.176939,84777,2246.58056640625
1554888892.0306687,85602,2293.296875
1554888919.7193265,86328,2450.41796875
1554888919.7385242,86526,2115.638916015625
1554888946.3741505,87087,2221.19921875
1554888972.0830185,87285,1848.8785400390625
1554888998.0746045,88143,1991.9688720703125
1554889054.2635057,88902,2376.3212890625
1554889054.2877517,89133,2358.806884765625
1554889077.3050916,89298,1732.6412353515625
1554889077.348486,89727,1724.3629150390625
1554889102.4068146,89958,1928.0341796875
1554889125.9702034,90453,2088.42041015625
1554889152.614435,90849,2163.8798828125
1554889152.6278906,90948,1958.448486328125
1554889176.5447083,91410,2263.68798828125
1554889229.1717167,92565,2162.4873046875
1554889229.1750438,92598,2082.892822265625
1554889229.1778555,92631,2024.6502685546875
1554889281.7285671,93720,1655.9429931640625
1554889356.3517437,95304,2336.94091796875
1554889384.7871084,95601,2250.972412109375
1554889384.819203,95898,2142.633544921875
1554889411.6168847,96096,1898.7520751953125
1554889431.2495315,96789,2186.901123046875
1554889431.2601092,96888,2371.529541015625
1554889506.4263985,98439,1945.3634033203125
1554889506.4508946,98703,1525.4189453125
1554889555.9704602,99462,1706.0074462890625
1554889578.6901987,99891,2115.516357421875
1554889602.182143,100419,2145.4208984375
1554889602.192087,100518,1875.8345947265625
1554889602.2170658,100782,1748.6260986328125
1554889627.4296026,100881,2275.935791015625
1554889655.051255,101673,1869.8846435546875
1554889655.067187,101805,1728.47265625
1554889704.3552356,102795,1876.06494140625
1554889753.1086762,103554,1715.110595703125
1554889775.9337728,104049,1779.5560302734375
1554889799.524036,104643,1591.1842041015625
1554889799.5433006,104841,1769.427734375
1554889824.2603836,105369,1824.0765380859375
1554889849.0791175,105963,2338.168212890625
1554889849.0823677,105996,2271.17431640625
1554889895.1431193,107118,1920.2161865234375
1554889920.4851236,107448,1828.888427734375
1554889920.4946506,107547,1871.496826171875
1554889920.497859,107580,1768.3310546875
1554889920.5040364,107646,1709.4893798828125
1554889920.5074725,107679,1794.4381103515625
1554889961.7404673,108504,2058.415771484375
1554890006.929714,109593,2318.371826171875
1554890048.0201323,110352,1730.0941162109375
1554890071.7985299,110913,2018.7803955078125
1554890117.179983,111936,1899.0211181640625
1554890141.8808885,112827,1865.824951171875
1554890164.3745325,112992,1534.17578125
1554890184.6056724,113718,1761.9013671875
1554890203.3797588,114345,1773.765869140625
1554890203.3857844,114411,1839.67138671875
1554890224.6406245,114642,1865.58056640625
1554890224.6626878,114840,1642.6788330078125
1554890245.5115912,115368,1643.8544921875
1554890266.4659646,115929,2279.72705078125
1554890285.1543272,116325,1811.7572021484375
1554890285.1653156,116424,1827.7015380859375
1554890332.8694267,117249,2062.9765625
1554890332.89137,117447,1927.100830078125
1554890356.6832337,118107,1467.6617431640625
1554890379.528157,118668,1606.938720703125
1554890429.1517177,119328,1653.75830078125
1554890452.8252578,119922,1866.3455810546875
1554890452.8329232,119988,1672.66357421875
1554890452.8401074,120054,1663.55908203125
1554890452.8586764,120252,1628.003173828125
1554890470.6357944,120813,2207.46435546875
1554890492.338763,121176,1704.30615234375
1554890516.6829867,121638,1624.6929931640625
1554890590.627333,123486,1728.6141357421875
1554890611.9864318,123618,1797.78466796875
1554890612.0109327,123882,1789.3358154296875
1554890612.020024,123981,1760.4295654296875
1554890665.3898222,125004,1538.868408203125
