Wall time,Step,Value
1554955066.5208292,45419,172.6661834716797
1554955066.5209045,45473,187.1974334716797
1554955066.5212038,45532,198.2300262451172
1554955066.521588,45517,152.0858612060547
1554955126.8893147,46506,192.16055297851562
1554955157.6843307,47085,180.70941162109375
1554955187.942338,47606,166.8812255859375
1554955218.065064,48054,172.9365234375
1554955248.6049845,48694,187.71533203125
1554955248.6057718,48635,172.93788146972656
1554955278.4780571,49108,192.14956665039062
1554955278.4784045,49162,173.00396728515625
1554955338.7223308,50263,192.16175842285156
1554955368.8872514,50735,188.06309509277344
1554955368.8878984,50776,188.0863037109375
1554955399.479857,51231,192.14105224609375
1554955428.720464,51833,180.70819091796875
1554955459.6319435,52275,166.20669555664062
1554955490.0026016,52810,173.00355529785156
1554955490.0033367,52912,198.2005157470703
1554955521.6887066,53335,151.9340362548828
1554955521.6891668,53384,173.00355529785156
1554955582.6170287,54436,173.00355529785156
1554955582.617131,54508,-168.91751098632812
1554955582.6171954,54392,188.54757690429688
1554955613.4890597,54934,188.55316162109375
1554955613.4892082,55039,188.55316162109375
1554955613.489754,54955,-168.56390380859375
1554955673.5844767,56095,187.83261108398438
1554955705.1741462,56498,172.9402313232422
1554955705.1748576,56546,188.1353759765625
1554955734.8999884,57105,187.4617156982422
1554955764.8760567,57596,188.0730743408203
1554955764.8764412,57600,151.9895782470703
1554955764.876951,57677,198.20030212402344
1554955794.303934,58151,198.29861450195312
1554955823.895019,58693,152.0103302001953
1554955823.8952668,58726,167.01788330078125
1554955823.8953376,58619,180.7086639404297
1554955823.8957784,58629,172.9435272216797
1554955853.6607876,59144,188.0646514892578
1554955853.6609542,59246,198.25877380371094
1554955882.9678962,59698,198.20980834960938
1554955912.7852757,60217,180.7086639404297
1554955912.785849,60309,152.1094970703125
1554955943.835904,60757,198.22171020507812
1554955973.5119798,61263,172.92457580566406
1554955973.5126367,61305,192.11154174804688
1554956032.203906,62363,172.93939208984375
1554956032.2039402,62391,173.04115295410156
1554956032.2040477,62327,188.563720703125
1554956122.0133884,63956,151.71287536621094
1554956122.013932,63987,188.642822265625
1554956122.0143127,63942,167.01788330078125
1554956122.0145178,63989,187.55039978027344
1554956151.6053307,64533,167.00494384765625
1554956181.8073258,65068,198.19308471679688
1554956181.8074002,64964,180.7098388671875
1554956181.808038,64989,167.01739501953125
1554956181.8081124,65064,167.01788330078125
1554956211.2232058,65575,198.2281036376953
1554956211.2240362,65516,152.1385498046875
1554956241.276495,66090,192.13340759277344
1554956241.2770963,66063,198.2064666748047
1554956271.9540577,66629,166.8812255859375
1554956271.954493,66622,187.53443908691406
1554956331.6297066,67708,198.2399139404297
1554956361.4351554,68144,166.72645568847656
1554956452.0755754,69815,166.89474487304688
1554956452.0757747,69793,152.0496368408203
1554956483.0409186,70266,172.94142150878906
1554956543.804569,71401,188.17295837402344
1554956543.8054492,71300,192.1516876220703
1554956604.8712714,72451,198.29861450195312
1554956723.3026156,74562,188.55316162109375
1554956754.2697306,75093,187.4117431640625
1554956754.2700062,74986,188.54757690429688
1554956784.9190664,75586,188.547607421875
1554956847.3347661,76613,188.6288299560547
1554956876.6996453,77115,198.2307586669922
1554956907.573207,77658,152.2044677734375
1554956938.0279365,78159,188.53749084472656
1554956938.0280507,78265,180.70819091796875
1554956968.655617,78715,188.54898071289062
1554956968.6557229,78784,180.7098388671875
1554956998.8202941,79285,192.1625213623047
1554957059.153328,80287,152.02597045898438
1554957120.7215266,81418,-168.91751098632812
1554957120.72197,81435,198.23464965820312
1554957151.5491235,81930,187.85272216796875
1554957181.868064,82483,167.01739501953125
1554957181.8681448,82372,188.54757690429688
1554957243.0336683,83527,187.7772216796875
1554957243.0343058,83476,192.1553955078125
1554957243.034441,83432,167.00381469726562
1554957243.0344784,83456,188.06732177734375
1554957243.0345423,83487,198.18345642089844
1554957243.0347264,83510,188.1361846923828
1554957304.314264,84529,192.16175842285156
1554957334.509967,85052,150.78753662109375
1554957395.014468,86181,187.75437927246094
1554957424.6901474,86626,151.9806365966797
1554957487.7213917,87662,188.55316162109375
1554957487.7216377,87662,166.82791137695312
1554957517.9498556,88205,-168.91751098632812
1554957547.603169,88714,167.01451110839844
1554957547.6040888,88711,187.86997985839844
1554957576.7032871,89339,180.7086639404297
1554957607.0820682,89868,180.7086639404297
1554957636.9344862,90327,192.15977478027344
1554957667.4198792,90875,165.93516540527344
1554957729.9269433,91933,166.88156127929688
1554957758.9428632,92527,167.01739501953125
1554957789.5326014,92967,188.6626739501953
1554957789.5326815,93034,187.7812957763672
1554957789.5327864,92939,173.00355529785156
1554957789.5332346,92959,188.10549926757812
1554957850.5582087,93996,187.86590576171875
1554957850.558996,94019,198.22000122070312
1554957938.7865233,95619,180.70941162109375
1554957938.7867146,95617,152.0915069580078
1554957938.7873821,95630,192.15977478027344
1554957998.9584885,96638,172.94093322753906
1554957998.9590528,96712,187.791748046875
1554958029.1070976,97204,152.07733154296875
1554958029.1075313,97237,167.01451110839844
1554958059.8520806,97789,152.0504913330078
1554958059.85228,97749,188.55772399902344
1554958059.8523772,97680,165.91746520996094
1554958090.8149345,98326,187.81124877929688
1554958121.0856187,98837,152.07785034179688
1554958150.6640804,99305,-155.76124572753906
1554958210.3125906,100413,167.01739501953125
1554958240.9798987,100899,192.13136291503906
1554958272.283834,101481,187.83680725097656
1554958303.8489375,102018,173.00328063964844
1554958365.13767,103061,198.29861450195312
1554958365.138352,103068,166.67181396484375
1554958365.1384842,102984,198.24659729003906
1554958454.8634796,104579,188.0695037841797
1554958485.9532175,105084,192.15773010253906
1554958485.9539206,105127,188.38511657714844
1554958578.122188,106704,173.00328063964844
1554958607.452032,107185,198.2294921875
1554958607.452075,107228,152.1122283935547
1554958607.4521892,107191,192.15318298339844
1554958607.4525921,107286,180.7086639404297
1554958607.4526258,107310,187.88626098632812
1554958636.8662522,107788,180.70941162109375
1554958667.602403,108302,198.19683837890625
1554958667.6025476,108243,198.2941131591797
1554958667.6030626,108281,167.01739501953125
1554958698.0040743,108798,188.1276092529297
1554958698.00417,108854,187.4981231689453
1554958698.0041986,108863,198.25143432617188
1554958730.2700787,109345,173.00355529785156
1554958760.2663972,109825,173.00355529785156
1554958760.267144,109834,180.7086639404297
1554958760.2672112,109870,180.7098388671875
1554958850.9651508,111430,152.253662109375
1554958881.7944467,112040,152.03260803222656
1554958881.7947133,112031,198.28794860839844
1554958912.548274,112490,172.93939208984375
1554958943.0885515,113103,188.49510192871094
1554958943.088699,113038,180.70819091796875
1554959034.3940563,114688,180.7086639404297
1554959066.250459,115182,192.15977478027344
1554959096.7257552,115683,180.7086639404297
1554959096.7258635,115743,192.13380432128906
1554959157.920444,116691,187.99813842773438
1554959157.9205563,116770,192.15977478027344
1554959187.974912,117238,173.00328063964844
1554959218.5188692,117843,188.19296264648438
1554959248.2356923,118392,192.11911010742188
1554959277.83048,118812,192.15977478027344
1554959277.830873,118830,152.2875213623047
1554959277.8311696,118874,167.01739501953125
1554959308.0160906,119426,152.12989807128906
1554959337.8074467,119924,-155.76124572753906
1554959337.8076558,119945,188.04782104492188
1554959367.7712007,120457,167.01451110839844
1554959397.6314342,121028,198.19683837890625
1554959397.6319299,121022,198.25143432617188
1554959397.6324973,121018,187.77084350585938
1554959427.7694135,121529,198.29786682128906
1554959427.7694478,121561,167.01451110839844
1554959456.756976,122059,167.01739501953125
1554959456.7570908,122022,166.0014190673828
1554959515.938147,123041,187.95721435546875
1554959545.9559505,123614,152.01422119140625
1554959575.8151448,124082,198.1760711669922
1554959607.1157792,124613,188.54898071289062
1554959607.1169543,124635,152.2523651123047
1554959696.7429967,126233,188.55209350585938
1554959696.743633,126264,166.89309692382812
1554959726.5613828,126751,192.16055297851562
1554959816.1889253,128355,-168.56390380859375
1554959816.1903415,128412,188.55209350585938
1554959847.34871,128864,187.9207763671875
1554959847.3487492,128883,-168.56756591796875
1554959908.205101,130011,-168.91751098632812
1554959938.5127122,130467,166.91908264160156
1554959938.5130675,130454,152.13638305664062
1554959999.307781,131574,188.16873168945312
1554960030.0058913,132036,180.7086639404297
1554960030.0070052,132041,198.25143432617188
1554960059.4774137,132603,152.11727905273438
1554960088.582761,133111,188.10841369628906
1554960180.1818414,134684,188.00999450683594
1554960209.8078287,135294,180.7098388671875
1554960209.8084764,135294,188.53749084472656
1554960240.835709,135737,152.08935546875
1554960271.2914236,136243,152.21270751953125
1554960302.1489353,136825,167.01739501953125
1554960363.4874716,137818,188.67254638671875
1554960393.6310987,138460,188.56005859375
1554960424.5622768,138864,192.15225219726562
1554960484.5715325,139940,192.15977478027344
1554960516.150433,140557,152.1867218017578
1554960516.1505492,140482,173.00355529785156
1554960547.866735,141003,192.15773010253906
1554960578.6715405,141523,198.2334442138672
1554960608.4320228,142103,180.7086639404297
1554960608.4320931,142159,187.88746643066406
1554960608.4325745,142047,173.00355529785156
1554960668.8991065,143202,188.12034606933594
1554960727.4651568,144258,152.13999938964844
1554960727.4652793,144201,-168.91751098632812
1554960727.465466,144205,152.177734375
1554960756.4277282,144737,198.20175170898438
1554960818.150336,145766,192.15977478027344
1554960818.1504395,145822,188.6901092529297
1554960878.9357917,146845,198.25143432617188
1554960878.935942,146839,173.00396728515625
1554960909.518055,147334,152.1664581298828
1554960940.0284839,147960,152.0341033935547
1554960940.0285597,147858,173.00328063964844
1554960971.718367,148412,188.54757690429688
1554960971.718474,148478,180.70941162109375
1554961002.0516455,148928,192.15977478027344
1554961002.0517123,148984,173.00355529785156
1554961030.9570515,149430,167.01788330078125
1554961091.6820607,150560,173.00396728515625
1554961121.3889318,151119,198.20175170898438
1554961151.40183,151634,165.90081787109375
1554961151.4022677,151592,173.00355529785156
1554961151.4026613,151628,198.25143432617188
1554961211.1424632,152621,198.28517150878906
1554961241.5102777,153203,192.15225219726562
1554961241.510707,153221,166.96287536621094
1554961272.3147395,153653,167.07615661621094
1554961272.3149571,153672,187.77796936035156
1554961332.9634478,154728,192.15977478027344
1554961362.567887,155305,198.25143432617188
1554961362.567948,155336,198.29861450195312
1554961393.1102052,155861,173.00355529785156
1554961393.1105156,155794,172.94093322753906
1554961393.110757,155824,188.6154327392578
1554961393.110826,155885,172.9526824951172
1554961424.2639332,156412,180.7086639404297
1554961486.0667727,157450,167.01451110839844
1554961516.5437617,157963,192.15773010253906
1554961516.5445502,157896,192.15773010253906
1554961516.5446155,157928,198.2941131591797
1554961546.9488904,158482,187.74330139160156
1554961546.9496875,158434,192.15773010253906
1554961577.3396678,158975,188.53749084472656
1554961637.3997796,160098,198.22483825683594
1554961666.9019725,160548,152.01992797851562
1554961666.902189,160553,172.94093322753906
1554961697.2190356,161068,188.55316162109375
1554961727.995531,161613,198.36756896972656
1554961727.996129,161685,192.13136291503906
1554961757.961376,162131,188.53749084472656
1554961757.9616356,162138,198.2740020751953
1554961788.9578867,162700,152.0972900390625
1554961880.8837013,164212,167.01739501953125
1554961911.4374127,164821,173.00355529785156
1554961911.4376156,164849,173.00396728515625
1554961942.100587,165283,173.00355529785156
1554961972.275573,165901,188.55772399902344
1554961972.2756462,165794,-168.91751098632812
1554961972.275683,165808,192.13136291503906
1554961972.2761934,165852,188.55209350585938
1554962031.0648909,166944,-169.56588745117188
1554962031.0653543,166966,198.21656799316406
1554962060.9778407,167444,187.9036102294922
1554962090.5356593,167920,188.55209350585938
1554962149.9555705,169058,188.54757690429688
1554962149.9560978,169039,167.01451110839844
1554962180.2130492,169493,198.3605194091797
1554962180.2132614,169497,-168.91751098632812
1554962180.2137272,169568,173.00355529785156
1554962180.2138624,169503,165.96336364746094
1554962211.7638545,170070,166.87086486816406
1554962211.7643914,170135,152.04287719726562
1554962211.7645354,170082,172.94320678710938
1554962242.045018,170600,188.1310577392578
1554962272.2934449,171108,188.05384826660156
1554962272.2938135,171193,188.58668518066406
1554962301.2874737,171650,180.70819091796875
1554962301.2881944,171602,152.11537170410156
1554962394.4262009,173223,188.0344696044922
1554962425.970705,173807,188.53749084472656
1554962425.9712842,173783,167.08193969726562
1554962456.3412395,174309,198.2477264404297
1554962456.3412728,174328,188.54757690429688
1554962485.8409233,174777,188.1377716064453
1554962515.7563562,175339,173.00355529785156
1554962546.8044016,175938,166.20419311523438
1554962578.210636,176442,198.26490783691406
1554962578.2108998,176365,151.48486328125
1554962608.458227,177003,192.15773010253906
1554962638.7335083,177445,173.00355529785156
1554962668.2662778,177955,187.97146606445312
1554962697.4772398,178566,188.16873168945312
1554962788.6274097,180165,180.70819091796875
1554962788.6284256,180114,152.1588592529297
1554962818.2354991,180625,198.28517150878906
1554962818.235537,180657,167.01451110839844
1554962848.0914118,181201,188.19175720214844
1554962878.0801206,181706,188.55772399902344
1554962938.5321507,182760,-155.76014709472656
1554962969.0092034,183340,188.53749084472656
1554962999.0994942,183863,192.15977478027344
1554963090.0740063,185450,198.24111938476562
1554963090.0746503,185440,152.15255737304688
1554963120.9398708,185896,167.01451110839844
1554963151.1222477,186417,188.54757690429688
1554963151.1222863,186436,188.55316162109375
1554963180.5419323,186928,198.22189331054688
1554963209.693216,187441,172.94093322753906
1554963239.4749842,187981,180.7098388671875
1554963268.8404322,188539,188.55772399902344
1554963298.304024,189114,187.880859375
1554963298.3041635,189047,173.00328063964844
1554963298.3046553,189062,192.15773010253906
1554963328.2421975,189678,152.1411895751953
1554963328.242346,189620,188.0715789794922
1554963328.2427404,189565,180.7086639404297
1554963359.1408453,190145,188.0729522705078
1554963391.5380871,190627,173.00355529785156
1554963421.392223,191149,188.54757690429688
1554963451.6930923,191709,151.94898986816406
1554963543.872846,193265,180.7086639404297
1554963603.8231554,194426,167.01451110839844
1554963634.579151,194935,180.7086639404297
1554963634.5798004,194943,192.15773010253906
1554963634.580008,194944,188.54898071289062
1554963664.9772832,195487,172.94320678710938
1554963664.9777732,195389,180.7086639404297
1554963694.9721158,195995,152.10696411132812
1554963726.2488973,196520,188.54757690429688
1554963726.2491093,196490,180.70819091796875
1554963726.2495182,196446,198.3605194091797
1554963755.128372,197048,180.7086639404297
1554963755.1290174,197022,-160.4593505859375
1554963786.5918229,197499,173.00328063964844
1554963817.566713,198004,192.16175842285156
1554963817.567073,198105,180.7086639404297
1554963817.5676942,198042,173.00355529785156
1554963881.1489403,199164,188.06350708007812
1554963881.1493587,199170,173.00328063964844
1554963969.5511715,200675,187.7779083251953
1554963969.5512109,200718,152.10696411132812
1554963998.9573147,201285,173.00355529785156
1554964060.6100783,202246,188.54757690429688
1554964091.0829787,202812,165.5784912109375
1554964091.0835392,202840,198.3605194091797
1554964091.0835748,202865,187.99887084960938
1554964160.5321977,203809,152.18994140625
1554964160.5328846,203920,188.54757690429688
1554964192.8739614,204403,180.70819091796875
1554964192.874844,204404,173.00355529785156
1554964291.184646,205981,152.10696411132812
1554964355.5316925,207051,152.17459106445312
1554964388.2595456,207627,-169.53428649902344
1554964388.2597198,207598,152.10696411132812
1554964420.2936034,208141,192.15773010253906
1554964453.000824,208646,188.53749084472656
1554964453.0013134,208687,167.01451110839844
1554964516.8126318,209695,151.38803100585938
1554964547.9358468,210191,188.53749084472656
1554964579.199383,210694,192.15977478027344
1554964579.1999362,210739,180.70941162109375
1554964610.75371,211262,173.00328063964844
1554964643.3017337,211818,198.26792907714844
1554964643.3018413,211732,150.99168395996094
1554964643.3019502,211799,152.03456115722656
1554964643.3022428,211827,192.16055297851562
1554964643.3024843,211826,-155.7519073486328
1554964676.0455518,212351,167.01451110839844
1554964676.0456882,212281,192.16055297851562
1554964707.6134093,212808,152.03260803222656
1554964707.6137805,212895,192.15773010253906
1554964804.3225648,214387,152.03260803222656
1554964836.1018934,214964,198.26490783691406
1554964836.101928,214996,167.0083465576172
1554964836.1020374,214942,188.03761291503906
1554964867.4764073,215446,198.36756896972656
1554964867.4765403,215532,-168.91751098632812
1554964900.6601212,216019,152.10696411132812
1554964900.6601567,216041,180.7086639404297
1554964900.6603835,216068,188.53749084472656
1554964900.6607988,216043,188.16873168945312
1554964932.5232954,216543,167.01739501953125
1554964963.8604162,217062,180.7086639404297
1554964995.2027302,217572,188.53749084472656
1554964995.20329,217606,173.00355529785156
1554965027.1827862,218111,180.70819091796875
