Wall time,Step,Value
1554884816.1863654,602,172.62583923339844
1554884845.8304338,1083,-165.907470703125
1554884845.830748,1116,198.2102813720703
1554884872.1580873,1640,198.2300262451172
1554884872.1593623,1620,172.3764190673828
1554884924.4681776,2682,198.2435302734375
1554884924.468619,2673,198.2740020751953
1554884976.1442041,3804,198.29541015625
1554884976.1445684,3766,198.19308471679688
1554885000.206815,4311,-165.94529724121094
1554885000.2076206,4298,172.7787628173828
1554885026.3481688,4866,198.16189575195312
1554885052.526157,5282,-165.93701171875
1554885052.526486,5310,-165.79873657226562
1554885079.3146844,5932,198.10958862304688
1554885079.3157184,5927,-165.82994079589844
1554885125.0778623,6902,-165.993896484375
1554885149.2484543,7392,198.25877380371094
1554885149.249277,7485,198.24659729003906
1554885214.9753764,9036,170.14175415039062
1554885239.1674938,9574,171.6654510498047
1554885239.1682734,9519,198.2499237060547
1554885239.1686969,9610,-165.7974090576172
1554885239.1687267,9619,198.17945861816406
1554885281.716281,10678,198.18345642089844
1554885281.7170548,10677,172.26893615722656
1554885302.789007,11139,198.22763061523438
1554885302.7896345,11207,198.2408447265625
1554885348.9041796,12251,198.2472381591797
1554885348.9047596,12232,-164.7124481201172
1554885372.8304665,12792,198.2064666748047
1554885372.8306367,12752,172.05950927734375
1554885372.8308594,12770,198.2281036376953
1554885396.5711527,13281,198.2294921875
1554885396.5712094,13299,198.29541015625
1554885396.5716066,13309,198.1760711669922
1554885396.572077,13305,-164.72508239746094
1554885422.446167,13811,198.29641723632812
1554885422.4481082,13789,-165.8273162841797
1554885517.7948248,15886,-165.94131469726562
1554885517.796342,15882,198.21453857421875
1554885517.7963707,15891,198.20709228515625
1554885541.4898412,16400,-165.8824462890625
1554885541.491943,16450,172.39035034179688
1554885567.848141,16911,-165.8838348388672
1554885567.8487082,16949,170.72146606445312
1554885590.4741557,17441,170.96401977539062
1554885590.4742544,17499,171.5812225341797
1554885614.4301317,18019,-165.77427673339844
1554885640.199315,18535,172.6012420654297
1554885640.1994793,18605,-165.88363647460938
1554885682.9912345,19609,-164.72483825683594
1554885682.9914527,19612,171.90219116210938
1554885682.9916983,19642,172.7461395263672
1554885710.8638558,20067,-164.72483825683594
1554885710.8646605,20133,-165.80776977539062
1554885736.5507605,20679,-165.88467407226562
1554885761.283864,21168,198.2064666748047
1554885784.9818993,21648,-165.8166046142578
1554885784.9821303,21678,-165.8915557861328
1554885784.9827316,21762,-165.96229553222656
1554885807.529428,22203,198.2281036376953
1554885831.4994676,22784,170.24176025390625
1554885831.4997332,22744,-165.96371459960938
1554885854.1363494,23281,-165.7731170654297
1554885854.136909,23300,198.22079467773438
1554885854.1374075,23319,198.18345642089844
1554885878.2335737,23825,173.04795837402344
1554885903.7541244,24354,-165.99932861328125
1554885903.7552283,24288,171.29673767089844
1554885930.5317976,24936,-165.88841247558594
1554885955.3474836,25412,198.2217559814453
1554885955.3484292,25433,-165.89218139648438
1554885983.6417396,25926,198.1967010498047
1554885983.6418686,25985,198.1842803955078
1554885983.64284,25970,198.2102813720703
1554886010.1691082,26400,198.21607971191406
1554886035.5877128,27005,-165.78561401367188
1554886035.5881517,27017,-165.923095703125
1554886063.9329507,27528,172.70111083984375
1554886063.9334805,27511,-165.78347778320312
1554886063.9340823,27557,-166.97064208984375
1554886063.9341412,27577,-164.71160888671875
1554886090.6038854,28013,198.19683837890625
1554886115.4333377,28546,198.19683837890625
1554886141.2705986,29156,-165.79974365234375
1554886141.271362,29090,198.20030212402344
1554886141.271802,29054,198.25877380371094
1554886170.2280855,29644,173.1107177734375
1554886170.2281919,29695,-165.81417846679688
1554886170.2287023,29657,198.18450927734375
1554886196.855089,30097,-165.82936096191406
1554886196.8560443,30159,-165.89222717285156
1554886223.5026765,30683,198.19683837890625
1554886223.502776,30740,171.35873413085938
1554886250.2074513,31225,172.80516052246094
1554886250.2080822,31238,-165.8247833251953
1554886277.3298662,31766,-165.82994079589844
1554886304.4364018,32334,198.24659729003906
1554886304.4368868,32319,-165.82676696777344
1554886304.4370418,32226,198.19683837890625
1554886304.4373894,32312,-165.8262176513672
1554886357.4056075,33285,-165.8028106689453
1554886357.406003,33264,172.83795166015625
1554886383.710267,33831,198.19940185546875
1554886383.71039,33892,198.1842803955078
1554886383.7108138,33891,-165.8990936279297
1554886411.5438266,34368,198.19683837890625
1554886411.5451162,34353,172.59539794921875
1554886411.5452745,34410,-165.8042755126953
1554886411.5453045,34419,198.1760711669922
1554886433.9963872,34942,198.18695068359375
1554886433.9969215,34879,198.19683837890625
1554886461.28203,35384,-165.80308532714844
1554886461.2825766,35385,171.7648468017578
1554886486.4045982,35948,172.33566284179688
1554886486.405956,36009,198.19683837890625
1554886513.1057396,36531,198.24659729003906
1554886544.6726568,36978,-165.7997589111328
1554886544.6726885,36990,-165.89138793945312
1554886544.6729872,37033,-165.8262176513672
1554886568.1929393,37538,172.05503845214844
